<!-- List of MUFI-Entities and their codes as in "norron.dtd" by 6 Feb 2004 -->

&quot;	&#x0022;
&amp;	&#x0026;
&apos;	&#x0027;
&lt;	&#x003C;
&gt;	&#x003E;
&ampet;	&#x0026;
&apo;	&#x0027;
&dot;	&#x002E;
&ed;	&#x003B;
&nbsp;	&#x00A0;
&iexcl;	&#x00A1;
&cent;	&#x00A2;
&pound;	&#x00A3;
&curren;	&#x00A4;
&yen;	&#x00A5;
&brvbar;	&#x00A6;
&sect;	&#x00A7;
&uml;	&#x00A8;
&copy;	&#x00A9;
&ordf;	&#x00AA;
&laquo;	&#x00AB;
&not;	&#x00AC;
&shy;	&#x00AD;
&reg;	&#x00AE;
&macr;	&#x00AF;
&deg;	&#x00B0;
&plusmn;	&#x00B1;
&sup2;	&#x00B2;
&sup3;	&#x00B3;
&acute;	&#x00B4;
&micro;	&#x00B5;
&para;	&#x00B6;
&middot;	&#x00B7;
&cedil;	&#x00B8;
&sup1;	&#x00B9;
&ordm;	&#x00BA;
&raquo;	&#x00BB;
&frac14;	&#x00BC;
&frac12;	&#x00BD;
&frac34;	&#x00BE;
&iquest;	&#x00BF;
&Agrave;	&#x00C0;
&Aacute;	&#x00C1;
&Acirc;	&#x00C2;
&Atilde;	&#x00C3;
&Auml;	&#x00C4;
&Aring;	&#x00C5;
&AElig;	&#x00C6;
&Ccedil;	&#x00C7;
&Egrave;	&#x00C8;
&Eacute;	&#x00C9;
&Ecirc;	&#x00CA;
&Euml;	&#x00CB;
&Igrave;	&#x00CC;
&Iacute;	&#x00CD;
&Icirc;	&#x00CE;
&Iuml;	&#x00CF;
&ETH;	&#x00D0;
&Ntilde;	&#x00D1;
&Ograve;	&#x00D2;
&Oacute;	&#x00D3;
&Ocirc;	&#x00D4;
&Otilde;	&#x00D5;
&Ouml;	&#x00D6;
&times;	&#x00D7;
&Oslash;	&#x00D8;
&Ugrave;	&#x00D9;
&Uacute;	&#x00DA;
&Ucirc;	&#x00DB;
&Uuml;	&#x00DC;
&Yacute;	&#x00DD;
&THORN;	&#x00DE;
&szlig;	&#x00DF;
&agrave;	&#x00E0;
&aacute;	&#x00E1;
&acirc;	&#x00E2;
&atilde;	&#x00E3;
&auml;	&#x00E4;
&aring;	&#x00E5;
&aelig;	&#x00E6;
&ccedil;	&#x00E7;
&egrave;	&#x00E8;
&eacute;	&#x00E9;
&ecirc;	&#x00EA;
&euml;	&#x00EB;
&igrave;	&#x00EC;
&iacute;	&#x00ED;
&icirc;	&#x00EE;
&iuml;	&#x00EF;
&eth;	&#x00F0;
&ntilde;	&#x00F1;
&ograve;	&#x00F2;
&oacute;	&#x00F3;
&ocirc;	&#x00F4;
&otilde;	&#x00F5;
&ouml;	&#x00F6;
&divide;	&#x00F7;
&oslash;	&#x00F8;
&ugrave;	&#x00F9;
&uacute;	&#x00FA;
&ucirc;	&#x00FB;
&uuml;	&#x00FC;
&yacute;	&#x00FD;
&thorn;	&#x00FE;
&yuml;	&#x00FF;
&Amacr;	&#x0100;
&amacr;	&#x0101;
&Abreve;	&#x0102;
&abreve;	&#x0103;
&Aogon;	&#x0104;
&aogon;	&#x0105;
&Cdot;	&#x010A;
&cdot;	&#x010B;
&Dstrok;	&#x0110;
&dstrok;	&#x0111;
&Emacr;	&#x0112;
&emacr;	&#x0113;
&Ebreve;	&#x0114;
&ebreve;	&#x0115;
&Edot;	&#x0116;
&edot;	&#x0117;
&Eogon;	&#x0118;
&eogon;	&#x0119;
&Gdot;	&#x0120;
&gdot;	&#x0121;
&hstrok;	&#x0127;
&Imacr;	&#x012A;
&imacr;	&#x012B;
&Ibreve;	&#x012C;
&ibreve;	&#x012D;
&Iogon;	&#x012E;
&iogon;	&#x012F;
&inodot;	&#x0131;
&IJlig;	&#x0132;
&ijlig;	&#x0133;
&ENG;	&#x014A;
&eng;	&#x014B;
&Omacr;	&#x014C;
&omacr;	&#x014D;
&Obreve;	&#x014E;
&obreve;	&#x014F;
&Odblac;	&#x0150;
&odblac;	&#x0151;
&OElig;	&#x0152;
&oelig;	&#x0153;
&Umacr;	&#x016A;
&umacr;	&#x016B;
&Ubreve;	&#x016C;
&ubreve;	&#x016D;
&Udblac;	&#x0170;
&udblac;	&#x0171;
&Uogon;	&#x0172;
&uogon;	&#x0173;
&Yuml;	&#x0178;
&slong;	&#x017F;
&bstrok;	&#x0180;
&hwair;	&#x0195;
&kslonglig;	&#x0199;
&lbar;	&#x019A;
&nlrleg;	&#x019E;
&YR;	&#x01A6;
&Zstrok;	&#x01B5;
&zstrok;	&#x01B6;
&EZH;	&#x01B7;
&wynn;	&#x01BF;
&AEligmacr;	&#x01E2;
&aeligmacr;	&#x01E3;
&Oogon;	&#x01EA;
&oogon;	&#x01EB;
&HWAIR;	&#x01F6;
&WYNN;	&#x01F7;
&AEligacute;	&#x01FC;
&aeligacute;	&#x01FD;
&Oslashacute;	&#x01FE;
&oslashacute;	&#x01FF;
&YOGH;	&#x021C;
&yogh;	&#x021D;
&Adot;	&#x0226;
&adot;	&#x0227;
&Odot;	&#x022E;
&odot;	&#x022F;
&Ymacr;	&#x0232;
&ymacr;	&#x0233;
&con;	&#x0254;
&dtail;	&#x0256;
&jnodotstrok;	&#x025F;
&gscap;	&#x0262;
&hslonglig;	&#x0266;
&iscap;	&#x026A;
&nscap;	&#x0274;
&oeligscap;	&#x0276;
&rdes;	&#x027C;
&rscap;	&#x0280;
&ubar;	&#x0289;
&yscap;	&#x028F;
&bscap;	&#x0299;
&hscap;	&#x029C;
&lscap;	&#x029F;
&breve;	&#x02D8;
&dot;	&#x02D9;
&ring;	&#x02DA;
&ogon;	&#x02DB;
&tilde;	&#x02DC;
&dblac;	&#x02DD;
&combgrave;	&#x0300;
&combacute;	&#x0301;
&combcirc;	&#x0302;
&combtilde;	&#x0303;
&combmacr;	&#x0304;
&combovl;	&#x0305;
&bar;	&#x0305;
&combbreve;	&#x0306;
&combdot;	&#x0307;
&combuml;	&#x0308;
&combhook;	&#x0309;
&combring;	&#x030A;
&combdblac;	&#x030B;
&combsgvertl;	&#x030D;
&combdbvertl;	&#x030E;
&combdotbl;	&#x0323;
&combogon;	&#x0328;
&barbl;	&#x0332;
&baracr;	&#x0336;
&asup;	&#x0363;
&esup;	&#x0364;
&isup;	&#x0365;
&osup;	&#x0366;
&usup;	&#x0367;
&csup;	&#x0368;
&dsup;	&#x0369;
&hsup;	&#x036A;
&msup;	&#x036B;
&rsup;	&#x036C;
&tsup;	&#x036D;
&vsup;	&#x036E;
&xsup;	&#x036F;
&agr;	&#x03B1;
&bgr;	&#x03B2;
&ggr;	&#x03B3;
&dgr;	&#x03B4;
&egr;	&#x03B5;
&zgr;	&#x03B6;
&eegr;	&#x03B7;
&thgr;	&#x03B8;
&igr;	&#x03B9;
&kgr;	&#x03BA;
&lgr;	&#x03BB;
&mgr;	&#x03BC;
&ngr;	&#x03BD;
&xgr;	&#x03BE;
&ogr;	&#x03BF;
&pgr;	&#x03C0;
&rgr;	&#x03C1;
&sfgr;	&#x03C2;
&sgr;	&#x03C3;
&tgr;	&#x03C4;
&ugr;	&#x03C5;
&phgr;	&#x03C6;
&khgr;	&#x03C7;
&psgr;	&#x03C8;
&ohgr;	&#x03C9;
&obiit;	&#x03B8;
&tridotright;	&#x10FB;
&frun;	&#x16A0;
&mrun;	&#x16D8;
&ascap;	&#x1D00;
&aeligscap;	&#x1D01;
&cscap;	&#x1D04;
&dscap;	&#x1D05;
&ethscap;	&#x1D06;
&escap;	&#x1D07;
&jscap;	&#x1D0A;
&kscap;	&#x1D0B;
&mscap;	&#x1D0D;
&oscap;	&#x1D0F;
&tscap;	&#x1D1B;
&uscap;	&#x1D1C;
&vscap;	&#x1D20;
&wscap;	&#x1D21;
&zscap;	&#x1D22;
&Bdot;	&#x1E02;
&bdot;	&#x1E03;
&Bdotbl;	&#x1E04;
&bdotbl;	&#x1E05;
&Ddot;	&#x1E0A;
&ddot;	&#x1E0B;
&Ddotbl;	&#x1E0C;
&ddotbl;	&#x1E0D;
&Emacracute;	&#x1E16;
&emacracute;	&#x1E17;
&Fdot;	&#x1E1E;
&fdot;	&#x1E1F;
&Hdotbl;	&#x1E24;
&hdotbl;	&#x1E25;
&Kdotbl;	&#x1E32;
&kdotbl;	&#x1E33;
&Ldotbl;	&#x1E36;
&ldotbl;	&#x1E37;
&Mdot;	&#x1E40;
&mdot;	&#x1E41;
&Mdotbl;	&#x1E42;
&mdotbl;	&#x1E43;
&Ndotbl;	&#x1E46;
&ndotbl;	&#x1E47;
&Omacracute;	&#x1E52;
&omacracute;	&#x1E53;
&Pdot;	&#x1E56;
&pdot;	&#x1E57;
&Rdotbl;	&#x1E5A;
&rdotbl;	&#x1E5B;
&Sdot;	&#x1E60;
&sdot;	&#x1E61;
&Sdotbl;	&#x1E62;
&sdotbl;	&#x1E63;
&Tdot;	&#x1E6A;
&tdot;	&#x1E6B;
&Tdotbl;	&#x1E6C;
&tdotbl;	&#x1E6D;
&Vdotbl;	&#x1E7E;
&vdotbl;	&#x1E7F;
&Wacute;	&#x1E82;
&wacute;	&#x1E83;
&Wuml;	&#x1E84;
&wuml;	&#x1E85;
&Wdot;	&#x1E86;
&wdot;	&#x1E87;
&Wdotbl;	&#x1E88;
&wdotbl;	&#x1E89;
&Ydot;	&#x1E8E;
&ydot;	&#x1E8F;
&Zdotbl;	&#x1E92;
&zdotbl;	&#x1E93;
&Adotbl;	&#x1EA0;
&adotbl;	&#x1EA1;
&Ahook;	&#x1EA2;
&ahook;	&#x1EA3;
&Abreveacute;	&#x1EAE;
&abreveacute;	&#x1EAF;
&Edotbl;	&#x1EB8;
&edotbl;	&#x1EB9;
&Ihook;	&#x1EC8;
&ihook;	&#x1EC9;
&Idotbl;	&#x1ECA;
&idotbl;	&#x1ECB;
&Odotbl;	&#x1ECC;
&odotbl;	&#x1ECD;
&Ohook;	&#x1ECE;
&ohook;	&#x1ECF;
&Udotbl;	&#x1EE4;
&udotbl;	&#x1EE5;
&Uhook;	&#x1EE6;
&uhook;	&#x1EE7;
&Ydotbl;	&#x1EF4;
&ydotbl;	&#x1EF5;
&Yhook;	&#x1EF6;
&yhook;	&#x1EF7;
&enqd;	&#x2000;
&emqd;	&#x2001;
&ensp;	&#x2002;
&emsp;	&#x2003;
&emsp13;	&#x2004;
&emsp14;	&#x2005;
&emsp16;	&#x2006;
&numsp;	&#x2007;
&puncsp;	&#x2008;
&thinsp;	&#x2009;
&hairsp;	&#x200A;
&zerosp;	&#x200B;
&dash;	&#x2010;
&nbhy;	&#x2011;
&numdash;	&#x2012;
&ndash;	&#x2013;
&mdash;	&#x2014;
&horbar;	&#x2015;
&Verbar;	&#x2016;
&lsquo;	&#x2018;
&rsquo;	&#x2019;
&lsquolow;	&#x201A;
&rsquorev;	&#x201B;
&ldquo;	&#x201C;
&rdquo;	&#x201D;
&ldquolow;	&#x201E;
&rdquorev;	&#x201F;
&dagger;	&#x2020;
&Dagger;	&#x2021;
&bull;	&#x2022;
&tribull;	&#x2023;
&sgldr;	&#x2024;
&dblldr;	&#x2025;
&hellip;	&#x2026;
&hyphpoint;	&#x2027;
&nnbsp;	&#x202F;
&permil;	&#x2030;
&prime;	&#x2032;
&Prime;	&#x2033;
&lsaquo;	&#x2039;
&rsaquo;	&#x203A;
&refmark;	&#x203B;
&triast;	&#x2042;
&fracsol;	&#x2044;
&lsqbqu;	&#x2045;
&rsqbqu;	&#x2046;
&et;	&#x204A;
&revpara;	&#x204B;
&minus;	&#x2212;
&there4;	&#x2234;
&est;	&#x223B;
&cross;	&#x271D;
&lwhsqb;	&#x27E6;
&rwhsqb;	&#x27E7;
&langb;	&#x27E8;
&rangb;	&#x27E9;
&AAlig;	&#xEF90;
&aalig;	&#xEF91;
