&aac;	&aacute;
&Aac;	&Aacute;
&aaligac;	&aaligacute;
&AAligac;	&AAligacute;
&aaligdac;	&aaligdblac;
&AAligdac;	&AAligdblac;
&aaligdda;	&aaliguml;
&AAligdda;	&AAliguml;
&adac;	&adblac;
&Adac;	&Adblac;
&adda;	&auml;
&Adda;	&Auml;
&aeligac;	&aeligacute;
&AEligac;	&AEligacute;
&aeligdac;	&aeligdblac;
&AEligdac;	&AEligdblac;
&aeligdda;	&aeliguml;
&AEligdda;	&AEliguml;
&ahal;	&acurl;
&Ahal;	&Acurl;
&ahbr;	&aogon;
&Ahbr;	&Aogon;
&aoligac;	&aoligacute;
&AOligac;	&AOligacute;
&auligac;	&auligacute;
&AUligac;	&AUligacute;
&avligac;	&avligacute;
&AVligac;	&AVligacute;
&ayligda;	&ayligdot;
&AYligda;	&AYligdot;
&dh;	&eth;
&DH;	&ETH;
&eac;	&eacute;
&Eac;	&Eacute;
&edac;	&edblac;
&Edac;	&Edblac;
&edda;	&euml;
&Edda;	&Euml;
&ehal;	&ecurl;
&Ehal;	&Ecurl;
&ehbr;	&eogon;
&Ehbr;	&Eogon;
&ehbrac;	&eogonacute;
&Ehbrac;	&Eogonacute;
&gscapda;	&gscapdot;
&iac;	&iacute;
&Iac;	&Iacute;
&idac;	&idblac;
&Idac;	&Idblac;
&idda;	&iuml;
&Idda;	&Iuml;
&idl;	&idotless;
&jac;	&jacute;
&Jac;	&Jacute;
&jdac;	&jdblac;
&Jdac;	&Jdblac;
&kda;	&kdot;
&lbr;	&lbrk;
&nscapda;	&nscapdot;
&oac;	&oacute;
&Oac;	&Oacute;
&odda;	&ouml;
&Odda;	&Ouml;
&ohal;	&ocurl;
&Ohal;	&Ocurl;
&ohbr;	&oogon;
&Ohbr;	&Oogon;
&ohbrac;	&oogonacute;
&Ohbrac;	&Oogonacute;
&olll;	&olooplowleft;
&Olll;	&Olooplowleft;
&ourl;	&oloopupright;
&Ourl;	&Oloopupright;
&ooligac;	&ooligacute;
&OOligac;	&OOligacute;
&ooligdac;	&OOligdblac;
&OOligdac;	&OOligdblac;
&ost;	&oslash;
&Ost;	&Oslash;
&ostac;	&oslashacute;
&Ostac;	&Oslashacute;
&osthal;	&oslashcurl;
&Osthal;	&Oslashcurl;
&osthbr;	&oslashogon;
&Osthbr;	&Oslashogon;
&osthbrac;	&oslashogonacute;
&Osthbrac;	&Oslashogonacute;
&rscapda;	&rscapdot;
&sscapda;	&sscapdot;
&tbr;	&togon;
&th;	&thorn;
&TH;	&THORN;
&tscapda;	&tscapdot;
&uac;	&uacute;
&Uac;	&Uacute;
&ucu;	&ucurl;
&Ucu;	&Ucurl;
&udac;	&udblac;
&Udac;	&Udblac;
&udda;	&uuml;
&Udda;	&Uuml;
&vac;	&vacute;
&Vac;	&Vacute;
&vda;	&vdot;
&Vda;	&Vdot;
&vdac;	&vdblac;
&Vdac;	&Vdblac;
&yac;	&yacute;
&Yac;	&Yacute;
&yda;	&ydot;
&Yda;	&Ydot;
&ydac;	&ydblac;
&Ydac;	&Ydblac;
&ydda;	&yuml;
&Ydda;	&Yuml;
&yddaac;	&ydotacute;
&Yddaac;	&Ydotacute;
&yhal;	&ycurl;
&Yhal;	&Ycurl;
&dotab;	&combdot;
&ssharp;	&szlig;
&stall;	&slong;
